2025-05-07 13:34:50,492 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 13:34:50,541 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 13:35:54,542 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 13:35:54,589 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 13:35:55,187 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 13:35:55,276 - INFO - ✅ Skipping TCGA-NH-A5IV, already exists.
2025-05-07 13:35:55,276 - INFO - ✅ Skipping TCGA-NH-A6GA, already exists.
2025-05-07 13:35:55,277 - INFO - ✅ Skipping TCGA-NH-A6GB, already exists.
2025-05-07 13:35:55,277 - INFO - ✅ Skipping TCGA-NH-A6GC, already exists.
2025-05-07 13:44:04,335 - INFO - ✅ Saved 10944 embeddings to virchow_features/TCGA-NH-A8F7.h5
2025-05-07 13:52:13,181 - INFO - ✅ Saved 11009 embeddings to virchow_features/TCGA-NH-A8F8.h5
2025-05-07 14:03:35,705 - INFO - ✅ Saved 15370 embeddings to virchow_features/TCGA-QG-A5YV.h5
2025-05-07 14:14:24,248 - INFO - ✅ Saved 14596 embeddings to virchow_features/TCGA-QG-A5YW.h5
2025-05-07 14:22:24,025 - INFO - ✅ Saved 10836 embeddings to virchow_features/TCGA-QG-A5YX.h5
2025-05-07 14:31:50,450 - INFO - ✅ Saved 12750 embeddings to virchow_features/TCGA-QG-A5Z1.h5
2025-05-07 14:40:37,994 - INFO - ✅ Saved 11858 embeddings to virchow_features/TCGA-QG-A5Z2.h5
2025-05-07 14:48:20,754 - INFO - ✅ Saved 10395 embeddings to virchow_features/TCGA-QL-A97D.h5
2025-05-07 14:56:29,639 - INFO - ✅ Saved 10947 embeddings to virchow_features/TCGA-SS-A7HO.h5
2025-05-07 15:04:24,628 - INFO - ✅ Saved 10735 embeddings to virchow_features/TCGA-T9-A92H.h5
2025-05-07 15:13:09,348 - INFO - ✅ Saved 11811 embeddings to virchow_features/TCGA-WS-AB45.h5
