2025-05-07 14:02:29,662 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 14:02:29,711 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 14:02:52,660 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-6156, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-6157, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-6158, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-6160, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-6681, already exists.
2025-05-07 17:42:03,332 - INFO - ✅ Skipping TCGA-DC-6682, already exists.
2025-05-07 17:42:03,333 - INFO - ✅ Skipping TCGA-DC-6683, already exists.
2025-05-07 17:49:06,342 - INFO - ✅ Saved 9460 embeddings to virchow_features/TCGA-DM-A0X9.h5
2025-05-07 17:51:49,328 - INFO - ✅ Saved 3658 embeddings to virchow_features/TCGA-DM-A0XD.h5
2025-05-07 18:00:16,110 - INFO - ✅ Saved 11424 embeddings to virchow_features/TCGA-DM-A0XF.h5
2025-05-07 18:08:42,845 - INFO - ✅ Saved 11398 embeddings to virchow_features/TCGA-DM-A1D0.h5
2025-05-07 18:14:55,945 - INFO - ✅ Saved 8415 embeddings to virchow_features/TCGA-DM-A1D4.h5
